energy,Th233 + photon [inclusive] width,n + Th232 width,J,Pi,L
389.286,0.0244,1.228e-05,1.5,-1,1
394.4681,0.0244,3.709e-05,1.5,-1,1
398.5815,0.0244,2.511e-06,1.5,-1,1
408.1135,0.0244,2.872e-06,1.5,-1,1
413.4009,0.0244,1.387e-05,1.5,-1,1
438.7884,0.0244,1.68e-06,1.5,-1,1
440.6087,0.0244,1.65e-06,1.5,-1,1
452.1238,0.0244,4.028e-06,1.5,-1,1
458.9152,0.0244,3.042e-05,1.5,-1,1
476.5493,0.0244,9.333e-05,1.5,-1,1
483.6761,0.0244,2.612e-05,1.5,-1,1
488.3882,0.0244,4.921e-05,1.5,-1,1
496.2877,0.0244,1.846e-06,1.5,-1,1
504.3273,0.0244,4.88e-06,1.5,-1,1
508.9929,0.0244,2.787e-05,1.5,-1,1
