energy,Pu240 + photon [inclusive] width,n + Pu239 width,J,Pi,L
170.0478,0.03764917,0.0001289593,1,1,0
170.6448,0.03683407,0.0004443405,1,1,0
171.3213,0.03909383,2.34567e-05,1,1,0
176.1552,0.0473979,0.002204997,1,1,0
177.3872,0.04074615,0.003704744,1,1,0
179.0728,0.03635043,0.001235033,1,1,0
183.8133,0.03813775,0.001602681,1,1,0
188.4481,0.04169582,0.0006478697,1,1,0
190.8197,0.04384543,0.001710078,1,1,0
196.899,0.03745528,0.003997132,1,1,0
199.5904,0.04432589,0.009175148,1,1,0
203.6041,0.03239595,0.001487209,1,1,0
207.5772,0.044346,0.007341845,1,1,0
213.4799,0.04107989,0.0003550267,1,1,0
215.3817,0.04160829,3.028446e-05,1,1,0
216.7501,0.03567796,0.00638706,1,1,0
219.6905,0.03774929,0.003612045,1,1,0
220.446,0.03827461,0.007778,1,1,0
223.3815,0.03546319,0.003366908,1,1,0
225.1071,0.04765063,0.001789605,1,1,0
228.1149,0.0409005,0.001840605,1,1,0
231.6242,0.03779987,0.01281025,1,1,0
232.8258,0.03347397,0.0003840747,1,1,0
234.5437,0.03360264,0.01031724,1,1,0
239.2795,0.03857938,0.005646793,1,1,0
240.3862,0.03966599,3.866997e-05,1,1,0
243.1184,0.03593803,0.006731999,1,1,0
247.7458,0.03878265,0.0007877536,1,1,0
249.098,0.03627066,0.01508956,1,1,0
251.4729,0.03337172,0.02957592,1,1,0
254.822,0.03966213,0.002995052,1,1,0
256.3508,0.04063503,0.005781056,1,1,0
259.2688,0.04121986,0.0002597889,1,1,0
262.9836,0.0391385,0.002330659,1,1,0
264.5695,0.03556779,0.0001500993,1,1,0
269.3132,0.03571531,0.001089703,1,1,0
269.8052,0.03143269,0.004231469,1,1,0
272.887,0.0393893,0.02641597,1,1,0
275.8539,0.03998626,0.02189887,1,1,0
279.8288,0.03090389,0.007949001,1,1,0
283.1924,0.03860662,0.02760935,1,1,0
286.0094,0.04025295,0.0001821891,1,1,0
288.3186,0.03952563,8.369161e-05,1,1,0
292.6236,0.03176599,0.003581101,1,1,0
296.7631,0.04347556,0.003456134,1,1,0
298.8933,0.04831328,0.01057196,1,1,0
302.1315,0.04360863,0.01954413,1,1,0
308.5501,0.03185492,0.003212166,1,1,0
309.3211,0.04918974,0.01404436,1,1,0
311.454,0.03254685,0.0002784769,1,1,0
313.9416,0.0357359,0.01485344,1,1,0
316.9857,0.03782196,0.005824513,1,1,0
323.7011,0.08143225,0.01931696,1,1,0
325.6305,0.02796051,0.00839007,1,1,0
334.2629,0.06126662,0.006144012,1,1,0
336.2744,0.04309744,0.01534442,1,1,0
338.3034,0.05866363,0.008548044,1,1,0
339.5935,0.03644792,0.003719351,1,1,0
343.545,0.03477121,0.01667143,1,1,0
350.6748,0.03652749,0.02217274,1,1,0
353.1698,0.03803297,0.003938987,1,1,0
355.2896,0.04112377,0.0003665142,1,1,0
360.3704,0.05284381,0.001195624,1,1,0
361.7474,0.03967719,0.0002068583,1,1,0
368.6159,0.04040011,0.0002601448,1,1,0
370.7125,0.0541667,0.002986421,1,1,0
375.4175,0.03746791,0.002893745,1,1,0
377.485,0.03925996,0.001829547,1,1,0
378.4441,0.05074818,0.001081029,1,1,0
382.7942,0.0397307,0.0003555946,1,1,0
384.6697,0.02802594,0.006086825,1,1,0
387.0497,0.04373636,0.0002051957,1,1,0
389.9339,0.03601872,0.00148612,1,1,0
391.9214,0.03862653,0.00103315,1,1,0
394.8471,0.04859272,0.006978642,1,1,0
397.3146,0.03395739,0.001930716,1,1,0
402.0245,0.03660109,0.0196137,1,1,0
404.6158,0.03707319,0.02283053,1,1,0
406.4733,0.03799614,0.001228004,1,1,0
407.4915,0.03587424,0.0008260965,1,1,0
409.1599,0.0410757,0.001168026,1,1,0
412.7582,0.03540607,0.009268348,1,1,0
416.1113,0.04063137,0.003000298,1,1,0
418.0572,0.0451388,0.001276582,1,1,0
420.2763,0.03614157,0.005600692,1,1,0
426.0749,0.04071665,0.0002545098,1,1,0
