energy,Cu66 + photon [inclusive] width,n + Cu65 width,J,Pi,L
137061.7,0.37,76.08141,0,1,1
137295.2,0.37,70.61469,0,1,1
137447.6,0.37,161.4764,0,1,1
137902.8,0.37,8.667379,0,1,1
138131.1,0.37,11.94486,0,1,1
138295.6,0.37,99.79007,0,1,1
140992.6,0.37,326.8304,0,1,1
143060.2,0.37,71.5712,0,1,1
146681.8,0.37,77.99474,0,1,1
147983.2,0.37,0.3940062,0,1,1
148677.6,0.37,0.6394409,0,1,1
149191.5,0.37,143.0428,0,1,1
158834.9,0.37,57.38798,0,1,1
161184.5,0.37,43.57686,0,1,1
161976.3,0.37,645.7531,0,1,1
163695.0,0.37,318.1862,0,1,1
165400.4,0.37,0.07219402,0,1,1
166272.2,0.37,238.8591,0,1,1
166510.3,0.37,477.2909,0,1,1
168466.0,0.37,203.2377,0,1,1
169649.4,0.37,0.1567696,0,1,1
177837.5,0.37,162.9726,0,1,1
177993.7,0.37,224.9587,0,1,1
180609.2,0.37,0.4739904,0,1,1
211620.2,0.37,1.265536,0,1,1
217816.9,0.37,1.05467,0,1,1
220220.5,0.37,39.85162,0,1,1
225668.6,0.37,76.21461,0,1,1
225898.0,0.37,167.4365,0,1,1
229869.6,0.37,0.07705815,0,1,1
234699.4,0.37,14.60466,0,1,1
237385.8,0.37,7.357545,0,1,1
238384.8,0.37,1145.334,0,1,1
240580.9,0.37,114.8586,0,1,1
241394.6,0.37,5.004482,0,1,1
242151.1,0.37,13.94823,0,1,1
246361.5,0.37,5.622258,0,1,1
258947.6,0.37,744.1193,0,1,1
260876.1,0.37,0.4195575,0,1,1
261108.5,0.37,0.02700163,0,1,1
261605.1,0.37,406.3335,0,1,1
264537.1,0.37,492.0319,0,1,1
266753.7,0.37,0.01705498,0,1,1
284358.1,0.37,13.34779,0,1,1
288453.2,0.37,0.6662762,0,1,1
289793.1,0.37,0.4705791,0,1,1
293668.6,0.37,27.12909,0,1,1
296002.9,0.37,0.4701564,0,1,1
299821.0,0.37,573.6416,0,1,1
6103.62,0.3316486,0.001582815,1,1,1
6281.041,0.3744043,0.0901524,1,1,1
9815.326,0.3148711,2.176559,1,1,1
11924.08,0.3366837,0.003547991,1,1,1
12129.48,0.3730962,1.723011,1,1,1
13006.41,0.3172983,0.004775427,1,1,1
13027.81,0.3464558,0.002555891,1,1,1
13269.79,0.2048109,0.1075664,1,1,1
13668.98,0.3007845,2.490817,1,1,1
16123.85,0.3700067,0.0007224648,1,1,1
16133.24,0.3811694,32.18558,1,1,1
